orkestr-back  | 2026-06-05T17:43:24.172646260Z   rawBody: '{"changes":[{"id":"5fe9e182-479f-4b66-90f4-5240a3fdca82","entityType":"PlaylistItem","entityId":"cmlbf2rso000401uqc8pouqan:script:playlist:19","operation":"update","payload":{"sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":19,"order":18,"title":"На сопках Манджурии","file":"Konevets_Quartet_-_On_the_Hills_of_Manchuria_(musmore.org).mp3","remoteUrl":"https://xn--80ahnpgc6b.xn--p1acf/minio/orchestra-media/cmlbf2rso000401uqc8pouqan/playlist/1780658678605-Konevets_Quartet_-_On_the_Hills_of_M'
orkestr-back  | 2026-06-05T17:43:52.340945900Z   rawBody: '{"changes":[{"id":"794ac960-d910-4eb8-a0bf-494c10977017","entityType":"PlaylistItem","entityId":"cmlbf2rso000401uqc8pouqan:script:playlist:18","operation":"update","payload":{"sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":18,"order":17,"title":"Реквием","file":"KHor_Moskovskogo_khrama_Vsekh_skorbyashhikh_Radoste_Nikolajj_Matveev_-_Vecheri_tvoeya_tajjnyya_(musmore.org).mp3","remoteUrl":"https://xn--80ahnpgc6b.xn--p1acf/minio/orchestra-media/cmlbf2rso000401uqc8pouqan/playlist/178065867806'
orkestr-back  | 2026-06-05T17:44:14.111054669Z   rawBody: '{"changes":[{"id":"a87ae1d6-4e05-4517-bea2-b082eb706cf6","entityType":"PlaylistItem","entityId":"cmlbf2rso000401uqc8pouqan:script:playlist:20","operation":"update","payload":{"sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":20,"order":19,"title":"Жуткая","file":"NDR_Chor_Helmut_Franz_Djord_Ligeti_-_Ligeti_Lux_Aeterna_(musmore.org).mp3","remoteUrl":"https://xn--80ahnpgc6b.xn--p1acf/minio/orchestra-media/cmlbf2rso000401uqc8pouqan/playlist/1780658679320-NDR_Chor_Helmut_Franz_Djord_Ligeti_-_L'
orkestr-back  | 2026-06-05T17:48:39.514976936Z   rawBody: '{"changes":[{"id":"34b16001-e40f-47af-ac9c-5c0474cd5326","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T17:48:39.242Z","lightFaders":{"v":1,"count":8,"faders":[{"id":1,"label":"F1","channel":2,"intensity":1,"enabled":true,"links":[{"channel":1},{"channel":3,"spotlightId":5},{"channel":4,"spotlightId":6},{"channel":5,"spotlight'
orkestr-back  | 2026-06-05T17:49:38.988916576Z   rawBody: '{"changes":[{"id":"e09ba3de-5194-4748-a3ad-ed4547037fc0","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T17:50:20.111943247Z   rawBody: '{"changes":[{"id":"839eedfb-18e5-40d7-99a6-92fc835b68ef","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T17:51:49.521963608Z   rawBody: '{"changes":[{"id":"e722b725-a4b1-450c-9b00-ce61424714cc","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T17:53:54.957486853Z   rawBody: '{"changes":[{"id":"09bf1a7d-f0cd-4fd0-9ee8-e0661b5c12f3","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T17:53:56.350997862Z   rawBody: '{"changes":[{"id":"949b2f07-dbed-4af3-8828-a2c919411417","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T17:54:04.739846870Z   rawBody: '{"changes":[{"id":"f9ba9098-d934-487f-aed9-bb8862a6dac2","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T17:55:34.527349057Z   rawBody: '{"changes":[{"id":"4f2c0e56-93e6-4890-bf6d-e708ff8f656d","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T17:55:34.259Z","lightPrograms":{"v":1,"activeProgramId":1,"programs":[{"id":1,"label":"Программа 1","faders":[{"faderId":1,"intensity":1,"enabled":true},{"faderId":2,"intensity":1,"enabled":true},{"faderId":3,"intensity":1,"'
